
Name              Version      Source Updated             Info
----              -------      ------ -------             ----
7zip              26.00        main   2026-02-25 21:46:10 
adb               37.0.0       main   2026-04-06 20:45:37 
bat               0.26.1       main   2026-01-10 18:17:06 
claude            1.569.0      extras 2026-04-06 20:47:06 
claude-code       2.1.92       main   2026-04-06 20:47:41 
curl              8.19.0_5     main   2026-04-06 20:49:05 
fastfetch         2.61.0       main   2026-04-06 20:49:17 
ffmpeg            8.1          main   2026-04-06 20:50:02 
gh                2.89.0       main   2026-04-06 20:50:07 
git               2.53.0.2     main   2026-03-11 15:44:16 
helix             25.07.1      main   2026-01-10 18:20:25 
imagemagick       7.1.2-18     main   2026-04-06 20:50:25 
innounp           2.67.6       main   2026-04-06 20:50:27 
less              692          main   2026-02-09 21:41:12 
meld              3.22.2       extras 2026-01-10 18:30:08 
memreduct         3.5.2        extras 2026-01-10 18:30:09 
nmap              7.99         main   2026-04-06 17:06:36 
nodejs            25.9.0       main   2026-04-06 18:50:22 
nvm               1.2.2        main   2026-04-06 19:00:57 
prismlauncher     10.0.5       games  2026-02-25 16:56:37 
python            3.14.3       main   2026-02-09 16:53:26 
qalculate         5.10.0       extras 2026-04-06 17:10:27 
qemu              10.2.0       main   2026-01-10 18:37:55 
rufus             4.13         extras 2026-02-25 16:56:37 
scoop-search      2.1.0        main   2026-01-10 18:37:57 
slack             4.49.81      extras 2026-04-06 17:11:00 
smartmontools     7.5          main   2026-01-10 18:38:26 
standardnotes     3.201.21     extras 2026-04-06 17:11:44 
starship          1.24.2       main   2026-01-10 18:38:47 
typst             0.14.2       main   2026-01-10 18:38:53 
uutils-coreutils  0.7.0        main   2026-03-11 15:54:13 
uv                0.11.3       main   2026-04-06 19:00:55 
vencord-installer 1.4.0        extras 2026-01-10 14:20:06 
vlc               3.0.23       extras 2026-01-10 18:39:13 
wget              1.21.4       main   2026-01-10 18:39:16 
winscp            6.5.6        extras 2026-04-06 17:11:48 
wireshark         4.6.4        extras 2026-03-11 15:54:52 
wiztree           4.31         extras 2026-04-06 17:11:51 
youtube-music     3.11.0       extras 2026-01-10 18:40:31 
zoom              6.6.11.23272 extras 2026-01-10 18:40:59 

